metric,value
major_tag_match_share,0.9113
bike_lts_network_share,0.4065
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts,2.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts,2.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts,3.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts,3.0
bike_lts_connect_network_share,0.7797
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts_connect,5.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts_connect,19.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts_connect,40.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts_connect,65.0
bike_lts_connect_byway_network_share,0.5872
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts_connect_byway,3.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts_connect_byway,7.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts_connect_byway,14.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts_connect_byway,20.0
bike_lts_fdot_network_share,0.5906
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts_fdot,3.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts_fdot,9.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts_fdot,16.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts_fdot,23.0
bike_lts_connect_halfmile_network_share,0.7859
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts_connect_halfmile,4.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts_connect_halfmile,13.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts_connect_halfmile,27.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts_connect_halfmile,48.0
bike_lts_nrel_network_share,1.0000
bike_median_reach_10min_any,9.0
bike_median_reach_10min_lts_nrel,7.0
bike_median_reach_20min_any,42.0
bike_median_reach_20min_lts_nrel,31.0
bike_median_reach_30min_any,92.0
bike_median_reach_30min_lts_nrel,66.0
bike_median_reach_40min_any,162.0
bike_median_reach_40min_lts_nrel,116.0
walk_lts_network_share,0.5052
walk_median_reach_10min_any,1.0
walk_median_reach_10min_lts,1.0
walk_median_reach_20min_any,2.0
walk_median_reach_20min_lts,2.0
walk_median_reach_30min_any,5.0
walk_median_reach_30min_lts,3.0
walk_median_reach_40min_any,9.0
walk_median_reach_40min_lts,5.0
