metric,year,value
bike_K,2019,32
bike_K,2020,40
bike_K,2021,42
bike_K,2022,43
bike_K,2023,43
bike_K,2024,40
bike_K,2025,37
bike_A,2019,176
bike_A,2020,183
bike_A,2021,180
bike_A,2022,177
bike_A,2023,165
bike_A,2024,198
bike_A,2025,184
ped_K,2019,130
ped_K,2020,117
ped_K,2021,160
ped_K,2022,134
ped_K,2023,154
ped_K,2024,126
ped_K,2025,94
ped_A,2019,273
ped_A,2020,234
ped_A,2021,242
ped_A,2022,229
ped_A,2023,236
ped_A,2024,202
ped_A,2025,196
crashes,2019,97193
crashes,2020,76866
crashes,2021,89929
crashes,2022,89865
crashes,2023,87220
crashes,2024,86137
crashes,2025,74900
bike_K_change_2019_to_2022-2024,,0.312500
bike_A_change_2019_to_2022-2024,,0.022727
ped_K_change_2019_to_2022-2024,,0.061538
ped_A_change_2019_to_2022-2024,,-0.185592
