GEOID20,county,population,households,zero_vehicle_hh,zero_car_share,mep_published,mep_harm,loss_fraction
120174501031,Citrus,2112,972,13,0.013374,309.7034,270.3200,0.127165
120174501032,Citrus,2008,1066,79,0.074109,577.9731,426.3932,0.262261
120174501041,Citrus,901,412,0,0.000000,332.6823,298.7764,0.101917
120174501042,Citrus,2024,760,47,0.061842,343.0354,316.4834,0.077403
120174501051,Citrus,1139,613,59,0.096248,319.3426,290.4107,0.090598
120174501052,Citrus,797,463,0,0.000000,275.0633,250.6908,0.088607
120174501061,Citrus,2415,754,16,0.021220,224.7902,204.3986,0.090714
120174501062,Citrus,1151,614,0,0.000000,190.1690,168.7019,0.112884
120174502011,Citrus,1419,679,43,0.063328,468.0609,395.2867,0.155480
120174502012,Citrus,1944,1012,97,0.095850,568.4328,436.2761,0.232493
120174502013,Citrus,467,227,0,0.000000,507.5058,414.8700,0.182532
120174502021,Citrus,1515,849,62,0.073027,444.2763,396.6400,0.107222
120174502022,Citrus,1123,421,10,0.023753,478.8271,393.9884,0.177180
120174502023,Citrus,2041,978,35,0.035787,414.5287,357.4573,0.137678
120174502024,Citrus,1207,440,0,0.000000,512.7003,415.7814,0.189036
120174503051,Citrus,1253,651,106,0.162826,478.6322,420.9490,0.120517
120174503052,Citrus,1597,730,10,0.013699,307.6834,253.8248,0.175046
120174503061,Citrus,2012,827,9,0.010883,660.7608,533.4801,0.192627
120174503062,Citrus,1403,562,41,0.072954,452.0045,402.0470,0.110524
120174503071,Citrus,1755,740,0,0.000000,272.6814,252.9083,0.072514
120174503072,Citrus,1273,519,28,0.053950,345.7133,318.0729,0.079952
120174503073,Citrus,1473,708,0,0.000000,369.8157,346.0780,0.064188
120174503074,Citrus,980,352,0,0.000000,458.2896,335.7658,0.267350
120174503081,Citrus,962,404,0,0.000000,198.0193,180.5050,0.088447
120174503082,Citrus,2296,953,0,0.000000,335.4574,312.5733,0.068218
120174503083,Citrus,2992,1093,0,0.000000,288.7443,271.7215,0.058955
120174503091,Citrus,2918,1156,66,0.057093,241.7851,222.1587,0.081173
120174503092,Citrus,2214,821,18,0.021924,263.9883,230.8418,0.125560
120174503093,Citrus,1714,545,0,0.000000,265.1317,244.3897,0.078233
120174503101,Citrus,3000,1116,76,0.068100,212.4507,198.2947,0.066632
120174503102,Citrus,1334,618,0,0.000000,252.2922,232.7110,0.077613
120174504011,Citrus,1752,743,35,0.047106,164.7855,142.5955,0.134660
120174504012,Citrus,1525,747,10,0.013387,159.8057,138.6710,0.132252
120174504021,Citrus,1776,730,22,0.030137,169.5963,155.9297,0.080583
120174504022,Citrus,1581,771,0,0.000000,169.1042,149.2196,0.117588
120174504023,Citrus,750,446,77,0.172646,58.7489,35.7295,0.391827
120174505011,Citrus,1093,532,12,0.022556,49.9265,17.0296,0.658907
120174505012,Citrus,705,370,12,0.032432,602.9440,476.4710,0.209759
120174505021,Citrus,1323,625,0,0.000000,255.6216,162.2796,0.365157
120174505022,Citrus,1512,757,20,0.026420,250.7838,184.0545,0.266083
120174506011,Citrus,2480,882,67,0.075964,407.2396,367.7511,0.096966
120174506012,Citrus,1288,515,0,0.000000,427.8168,380.2254,0.111242
120174506013,Citrus,1282,685,15,0.021898,657.4841,498.2045,0.242256
120174506021,Citrus,1426,514,114,0.221790,541.7293,468.4274,0.135311
120174506022,Citrus,1040,535,0,0.000000,449.7206,390.7982,0.131020
120174506023,Citrus,1560,642,20,0.031153,604.2037,552.4005,0.085738
120174506024,Citrus,1418,536,32,0.059701,631.8564,522.4709,0.173118
120174507031,Citrus,1964,912,13,0.014254,604.6855,432.3844,0.284943
120174507032,Citrus,1559,799,0,0.000000,603.3419,459.6100,0.238226
120174507033,Citrus,1712,882,88,0.099773,542.0911,462.9995,0.145901
120174507041,Citrus,2051,784,36,0.045918,580.2706,477.5433,0.177033
120174507042,Citrus,2026,924,0,0.000000,518.0422,481.0258,0.071454
120174507051,Citrus,2194,916,83,0.090611,430.3570,397.3920,0.076599
120174507052,Citrus,1341,578,42,0.072664,451.0254,399.6391,0.113932
120174507053,Citrus,1662,632,27,0.042722,602.0541,421.3449,0.300154
120174507061,Citrus,1576,625,16,0.025600,603.1613,537.0774,0.109563
