tti,growth,published_mep,vs_today
1.0,0.0,6682.7317,0.000000
1.0,0.1,7351.0048,0.100000
1.0,0.2,8019.2780,0.200000
1.0,0.3,8687.5511,0.300000
1.0,0.5,10024.0975,0.500000
1.15,0.0,5404.9102,-0.191212
1.15,0.1,5945.4012,-0.110334
1.15,0.2,6485.8922,-0.029455
1.15,0.3,7026.3832,0.051424
1.15,0.5,8107.3653,0.213181
1.3,0.0,4451.3117,-0.333908
1.3,0.1,4896.4429,-0.267299
1.3,0.2,5341.5740,-0.200690
1.3,0.3,5786.7052,-0.134081
1.3,0.5,6676.9675,-0.000863
1.5,0.0,3531.3086,-0.471577
1.5,0.1,3884.4394,-0.418735
1.5,0.2,4237.5703,-0.365892
1.5,0.3,4590.7012,-0.313050
1.5,0.5,5296.9629,-0.207366
1.0,break_even_growth,,0.000000
1.15,break_even_growth,,0.236419
1.3,break_even_growth,,0.501295
1.5,break_even_growth,,0.892424
