GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570001011,Hillsborough,10087.0311,9451.3069,9450.9057,483,385
120570001012,Hillsborough,10806.4641,9227.9301,9222.3654,363,431
120570001013,Hillsborough,10993.7940,9323.0588,9316.9302,344,406
120570001014,Hillsborough,9864.2247,9303.8055,9303.6284,519,414
120570001021,Hillsborough,11837.1265,8962.6658,8954.8335,267,475
120570001022,Hillsborough,10824.3537,9310.2593,9304.9867,359,410
120570001023,Hillsborough,10784.7362,9233.4994,9228.1397,367,428
120570001024,Hillsborough,10990.0519,9386.0612,9381.0731,346,397
120570002011,Hillsborough,11485.8693,9688.5153,9681.9003,295,353
120570002012,Hillsborough,12630.1867,10878.9407,10872.6828,223,219
120570002021,Hillsborough,11183.0473,9589.3290,9583.8361,322,366
120570002022,Hillsborough,10405.9861,9865.7524,9865.5160,427,324
120570002023,Hillsborough,11019.1575,9802.1283,9798.5471,341,333
120570003011,Hillsborough,12687.9140,11020.4009,11014.3857,221,214
120570003012,Hillsborough,11483.6377,10084.2866,10079.4409,296,288
120570003013,Hillsborough,13713.6422,11485.3067,11476.7092,177,172
120570003014,Hillsborough,12803.7243,11211.6775,11206.5975,215,194
120570003021,Hillsborough,11018.9968,9764.4995,9760.7991,342,339
120570003022,Hillsborough,11402.1083,10081.8191,10077.8629,301,289
120570004011,Hillsborough,11850.5892,10296.2533,10291.1467,265,265
120570004012,Hillsborough,13017.9572,11049.8763,11042.4018,208,212
120570004013,Hillsborough,13379.3663,11383.9799,11376.7575,190,183
120570004021,Hillsborough,13468.2116,11554.3662,11547.4355,184,161
120570004022,Hillsborough,13408.2350,11467.8336,11461.1229,187,174
120570004023,Hillsborough,13269.1187,11424.8390,11418.2592,197,179
120570005001,Hillsborough,11572.1350,9991.1663,9985.4917,290,305
120570005002,Hillsborough,11789.7643,10195.4450,10189.7981,270,279
120570005003,Hillsborough,13216.4358,11384.7335,11378.0519,198,181
120570005004,Hillsborough,12287.2466,10674.9172,10669.1189,232,234
120570006011,Hillsborough,12069.7247,10523.3066,10518.0980,245,250
120570006012,Hillsborough,13774.2722,11827.3490,11820.2816,173,140
120570006013,Hillsborough,11980.9056,11292.0097,11291.9991,251,191
120570006021,Hillsborough,14554.2844,12134.5849,12125.1554,146,116
120570006022,Hillsborough,14610.8961,12134.7913,12125.4572,143,115
120570007011,Hillsborough,13784.8161,11696.2230,11688.1468,172,149
120570007012,Hillsborough,13958.8857,11877.9419,11869.9346,163,137
120570007021,Hillsborough,13357.5661,11332.0797,11324.6761,193,187
120570007022,Hillsborough,13101.3067,11103.7434,11096.4568,202,207
120570008001,Hillsborough,11508.4099,10284.5001,10280.7132,292,267
120570008002,Hillsborough,11054.2523,9726.3278,9722.7220,333,346
120570009011,Hillsborough,11029.8417,9709.5543,9705.7307,338,348
120570009012,Hillsborough,10685.8783,9404.5490,9400.8500,381,391
120570009013,Hillsborough,10470.8999,9230.9039,9227.4554,419,430
120570009021,Hillsborough,10757.7520,9338.1496,9334.2090,371,403
120570009022,Hillsborough,10857.9326,9574.2887,9570.7720,353,371
120570009023,Hillsborough,10631.1665,9252.6787,9248.7431,390,425
120570009024,Hillsborough,10147.3627,8906.3446,8902.8669,471,485
120570010011,Hillsborough,11675.4382,10364.5460,10360.4992,279,258
120570010012,Hillsborough,11440.8689,10620.4305,10620.3364,297,237
120570010021,Hillsborough,12709.4240,10875.1194,10869.3327,220,221
120570010022,Hillsborough,13874.9588,11504.5144,11495.9992,167,170
120570010023,Hillsborough,13000.1038,11200.7311,11195.2899,209,195
120570010024,Hillsborough,13841.6751,11653.1102,11645.3549,170,153
120570011001,Hillsborough,15405.7485,12527.0761,12515.3894,124,65
120570011002,Hillsborough,14369.4032,11730.8698,11719.5839,151,146
120570011003,Hillsborough,12982.0974,10876.8287,10868.0712,210,220
120570012001,Hillsborough,15540.7082,13067.5058,13057.9881,121,15
120570012002,Hillsborough,15587.8649,12785.4632,12773.9749,115,36
120570013001,Hillsborough,14731.1080,12170.8029,12160.8911,140,110
120570013002,Hillsborough,13604.0998,11316.2627,11307.0337,179,189
120570013003,Hillsborough,14009.8879,11786.3971,11777.8131,162,142
120570013004,Hillsborough,12183.8218,11568.4803,11568.4734,236,160
120570013005,Hillsborough,12546.5827,11550.0850,11548.8624,225,163
120570014001,Hillsborough,12782.5056,12206.4211,12206.3653,216,107
120570014002,Hillsborough,15086.6127,12551.8850,12541.0234,134,59
120570014003,Hillsborough,15634.9534,12561.0212,12547.3658,113,57
120570014004,Hillsborough,15841.1812,12937.0527,12924.3741,106,21
120570015001,Hillsborough,14319.0911,11588.8664,11577.6034,153,158
120570015002,Hillsborough,15192.2762,12328.9916,12317.1121,129,94
120570015003,Hillsborough,14714.7809,11946.7524,11935.2523,141,132
120570016001,Hillsborough,13309.3382,12603.8908,12603.8392,195,51
120570016002,Hillsborough,15558.2463,12659.8048,12647.9804,119,47
120570017001,Hillsborough,15211.6206,12528.4581,12517.9897,128,64
120570017002,Hillsborough,13944.2167,11425.4213,11415.5715,164,178
120570017003,Hillsborough,13901.8096,11221.1568,11211.0318,165,193
120570017004,Hillsborough,15177.0535,12288.7374,12276.7180,130,99
120570017005,Hillsborough,14380.3769,11634.1028,11623.5295,150,156
120570018001,Hillsborough,13848.1213,11455.1764,11446.4709,168,175
120570018002,Hillsborough,12518.8982,10854.9947,10850.1871,227,222
120570018003,Hillsborough,14116.9364,11576.5829,11566.8698,157,159
120570018004,Hillsborough,14015.0443,11637.3882,11628.2519,161,155
120570019001,Hillsborough,13877.9503,11371.5158,11362.2491,166,185
120570019002,Hillsborough,13617.4973,11052.1931,11042.2400,178,211
120570019003,Hillsborough,14930.0304,11525.1901,11510.5687,139,166
120570020001,Hillsborough,14990.3875,12005.7474,11993.9405,136,126
120570020002,Hillsborough,15869.9553,12158.0480,12141.8219,104,112
120570020003,Hillsborough,16056.9715,12309.2636,12292.5153,99,95
120570021001,Hillsborough,16226.3481,12520.0380,12503.5228,92,66
120570021002,Hillsborough,16187.7456,12334.8725,12317.6276,94,93
120570021003,Hillsborough,16866.1031,12879.2661,12861.1292,70,28
120570022001,Hillsborough,16815.4743,12798.0622,12780.0834,74,34
120570023001,Hillsborough,16286.1617,12140.2177,12121.5998,91,113
120570023002,Hillsborough,16891.7177,12482.3102,12462.5349,69,71
120570023003,Hillsborough,16822.7045,12469.5488,12449.9238,73,74
120570024001,Hillsborough,13293.8922,12488.5005,12487.9471,196,70
120570024002,Hillsborough,15576.2681,12664.8348,12652.1821,117,46
120570024003,Hillsborough,12924.8743,12215.8902,12215.8562,212,104
120570024004,Hillsborough,16007.6373,12635.7158,12620.7147,102,49
120570025001,Hillsborough,15302.1786,11949.8121,11937.9368,126,131
120570025002,Hillsborough,15549.3783,12853.1301,12842.5796,120,30
120570025003,Hillsborough,14947.2992,11737.3151,11725.1694,138,145
120570025004,Hillsborough,15154.7346,12387.9037,12376.2289,132,87
120570026001,Hillsborough,12871.3811,11814.8008,11813.5228,213,141
120570026002,Hillsborough,17881.6579,12901.9824,12882.8995,39,23
120570027011,Hillsborough,16626.1805,12762.9310,12745.2189,79,37
120570027012,Hillsborough,16458.2461,12454.4466,12436.2575,87,80
120570027013,Hillsborough,17475.9700,12411.6524,12387.3885,53,83
120570027021,Hillsborough,17637.7545,12576.5401,12551.8568,46,54
120570027022,Hillsborough,17620.2636,12455.1208,12430.1212,47,79
120570028001,Hillsborough,16572.0164,12162.2030,12141.7468,83,111
120570028002,Hillsborough,16533.9935,12097.2837,12076.5338,85,120
120570028003,Hillsborough,16594.2399,11967.0028,11945.1613,81,130
120570028004,Hillsborough,16926.0319,12128.4097,12105.9572,67,117
120570029001,Hillsborough,16997.1657,12459.8236,12439.1728,64,77
120570029002,Hillsborough,17138.3681,12403.8499,12382.2571,62,86
120570029003,Hillsborough,19157.9189,12717.2077,12685.8246,18,42
120570030001,Hillsborough,17258.0588,12954.1356,12933.7029,60,18
120570030002,Hillsborough,17290.1551,12843.0424,12822.7418,59,31
120570030003,Hillsborough,19022.3164,12895.2266,12865.2632,20,24
120570031001,Hillsborough,16519.0647,12529.8216,12511.5105,86,63
120570031002,Hillsborough,16086.7724,12140.1871,12122.2340,97,114
120570031003,Hillsborough,15728.8947,12054.4591,12038.6347,110,123
120570031004,Hillsborough,16293.9617,12240.9919,12223.1724,90,103
120570032001,Hillsborough,16697.3862,12537.8149,12518.5409,77,62
120570032002,Hillsborough,19250.4587,13168.6895,13138.8461,17,11
120570032003,Hillsborough,17206.5964,12891.0492,12871.0340,61,25
120570033001,Hillsborough,16759.1509,12586.2062,12567.9218,76,53
120570033002,Hillsborough,16769.6966,12721.5321,12703.8746,75,41
120570033003,Hillsborough,16959.1256,12890.3606,12872.1746,65,26
120570034001,Hillsborough,16009.8233,12175.8205,12159.2652,101,109
120570034002,Hillsborough,14128.3684,11534.5486,11524.4122,156,164
120570034003,Hillsborough,15053.6876,11351.0076,11335.2281,135,186
120570035001,Hillsborough,16593.3554,12562.3384,12544.6847,82,56
120570035002,Hillsborough,16331.1963,12356.7837,12339.1883,88,91
120570035003,Hillsborough,15559.7801,11654.7392,11638.0181,118,152
