GEOID20,county,pop,walk_commute_share,walk_pmt,walk_ksi_obs,walk_ksi_eb,r_walk,bike_commute_share,bike_pmt,bike_ksi_obs,bike_ksi_eb,r_bike
120570001011,Hillsborough,1047,0.138743,546227,0,0.4881,0.7494,0.000000,0,1,0.8637,0.0000
120570001012,Hillsborough,908,0.000000,0,0,0.4666,0.0000,0.000000,0,0,0.4508,0.0000
120570001013,Hillsborough,1478,0.000000,0,0,0.4659,0.0000,0.000000,0,1,0.8855,0.0000
120570001014,Hillsborough,659,0.000000,0,2,1.7191,0.0000,0.032020,90585,3,1.7770,8.5857
120570001021,Hillsborough,574,0.000000,0,3,2.2486,0.0000,0.000000,0,1,0.8395,0.0000
120570001022,Hillsborough,1247,0.000000,0,0,0.4439,0.0000,0.000000,0,0,0.4336,0.0000
120570001023,Hillsborough,911,0.134783,461706,0,0.4742,0.8614,0.000000,0,0,0.4286,0.0000
120570001024,Hillsborough,3469,0.000000,0,4,2.9553,0.0000,0.016548,246443,0,0.4537,0.9432
120570002011,Hillsborough,1656,0.060890,379157,5,4.1294,9.3836,0.011710,83245,1,0.9452,5.4833
120570002012,Hillsborough,1608,0.007353,44459,3,2.6704,57.9691,0.000000,0,2,1.3749,0.0000
120570002021,Hillsborough,1706,0.024457,156887,1,1.1528,5.7284,0.000000,0,0,0.4373,0.0000
120570002022,Hillsborough,2766,0.021450,223102,7,5.1243,20.3993,0.000000,0,2,1.2693,0.0000
120570002023,Hillsborough,1071,0.000000,0,1,1.0010,0.0000,0.000000,0,1,0.8166,0.0000
120570003011,Hillsborough,1136,0.000000,0,1,1.1566,0.0000,0.000000,0,0,0.4647,0.0000
120570003012,Hillsborough,597,0.000000,0,0,0.4517,0.0000,0.000000,0,0,0.4394,0.0000
120570003013,Hillsborough,2229,0.000000,0,7,5.3008,0.0000,0.000000,0,2,1.3872,0.0000
120570003014,Hillsborough,565,0.000000,0,7,4.9420,0.0000,0.000000,0,3,1.7399,0.0000
120570003021,Hillsborough,1590,0.000000,0,0,0.4384,0.0000,0.000000,0,0,0.4294,0.0000
120570003022,Hillsborough,1419,0.000000,0,3,2.3795,0.0000,0.000000,0,4,2.1699,0.0000
120570004011,Hillsborough,904,0.000000,0,2,1.8266,0.0000,0.000000,0,2,1.3611,0.0000
120570004012,Hillsborough,663,0.000000,0,5,3.8752,0.0000,0.000000,0,1,0.9194,0.0000
120570004013,Hillsborough,788,0.000000,0,2,1.8300,0.0000,0.000000,0,1,0.9140,0.0000
120570004021,Hillsborough,1152,0.000000,0,0,0.4949,0.0000,0.000000,0,0,0.4737,0.0000
120570004022,Hillsborough,997,0.000000,0,4,3.2322,0.0000,0.000000,0,0,0.4719,0.0000
120570004023,Hillsborough,987,0.000000,0,4,3.2378,0.0000,0.000000,0,2,1.3861,0.0000
120570005001,Hillsborough,740,0.028571,79502,0,0.4709,4.9678,0.000000,0,0,0.4298,0.0000
120570005002,Hillsborough,1135,0.000000,0,0,0.4486,0.0000,0.045929,223789,1,0.8891,1.9186
120570005003,Hillsborough,750,0.000000,0,2,1.7247,0.0000,0.000000,0,0,0.4429,0.0000
120570005004,Hillsborough,1552,0.000000,0,0,0.4608,0.0000,0.000000,0,0,0.4464,0.0000
120570006011,Hillsborough,1363,0.000000,0,4,3.1292,0.0000,0.000000,0,0,0.4591,0.0000
120570006012,Hillsborough,1347,0.014184,71844,3,2.5157,33.7945,0.000000,0,0,0.4424,0.0000
120570006013,Hillsborough,2277,0.009623,82393,3,2.6027,30.4870,0.000000,0,2,1.3376,0.0000
120570006021,Hillsborough,1396,0.000000,0,0,0.4789,0.0000,0.000000,0,0,0.4605,0.0000
120570006022,Hillsborough,1282,0.032136,154916,9,7.0063,45.3918,0.000000,0,3,1.8245,0.0000
120570007011,Hillsborough,1844,0.000000,0,2,1.8154,0.0000,0.000000,0,1,0.9079,0.0000
120570007012,Hillsborough,1739,0.000000,0,6,4.5984,0.0000,0.000000,0,1,0.9273,0.0000
120570007021,Hillsborough,971,0.000000,0,1,1.1688,0.0000,0.000000,0,0,0.4688,0.0000
120570007022,Hillsborough,1655,0.000000,0,0,0.4800,0.0000,0.027200,193251,0,0.4765,1.2632
120570008001,Hillsborough,2112,0.036458,289537,1,1.1788,3.1739,0.000000,0,1,0.8747,0.0000
120570008002,Hillsborough,1725,0.000000,0,0,0.4680,0.0000,0.000000,0,0,0.4519,0.0000
