GEOID20,county,r_drive_local,segments_reachable
120570001011,Hillsborough,0.090808,2334
120570001012,Hillsborough,0.090670,2305
120570001013,Hillsborough,0.091035,2275
120570001014,Hillsborough,0.089807,2348
120570001021,Hillsborough,0.089595,2225
120570001022,Hillsborough,0.090393,2333
120570001023,Hillsborough,0.090679,2316
120570001024,Hillsborough,0.090742,2320
120570002011,Hillsborough,0.089820,2422
120570002012,Hillsborough,0.089837,2437
120570002021,Hillsborough,0.089792,2394
120570002022,Hillsborough,0.089986,2397
120570002023,Hillsborough,0.089711,2391
120570003011,Hillsborough,0.089705,2429
120570003012,Hillsborough,0.089531,2417
120570003013,Hillsborough,0.089620,2434
120570003014,Hillsborough,0.089614,2420
120570003021,Hillsborough,0.089562,2389
120570003022,Hillsborough,0.089569,2394
120570004011,Hillsborough,0.089995,2448
120570004012,Hillsborough,0.090142,2453
120570004013,Hillsborough,0.089915,2448
120570004021,Hillsborough,0.089744,2434
120570004022,Hillsborough,0.089627,2427
120570004023,Hillsborough,0.089640,2439
120570005001,Hillsborough,0.090132,2442
120570005002,Hillsborough,0.089853,2420
120570005003,Hillsborough,0.090134,2437
120570005004,Hillsborough,0.090292,2450
120570006011,Hillsborough,0.090177,2456
120570006012,Hillsborough,0.089950,2441
120570006013,Hillsborough,0.089985,2447
120570006021,Hillsborough,0.089718,2452
120570006022,Hillsborough,0.089642,2447
120570007011,Hillsborough,0.089572,2433
120570007012,Hillsborough,0.089540,2437
120570007021,Hillsborough,0.089374,2405
120570007022,Hillsborough,0.089299,2396
120570008001,Hillsborough,0.089752,2395
120570008002,Hillsborough,0.090364,2365
120570009011,Hillsborough,0.090453,2358
120570009012,Hillsborough,0.090597,2338
120570009013,Hillsborough,0.090349,2325
120570009021,Hillsborough,0.090641,2308
120570009022,Hillsborough,0.090377,2340
120570009023,Hillsborough,0.090529,2301
120570009024,Hillsborough,0.090467,2274
120570010011,Hillsborough,0.089274,2339
120570010012,Hillsborough,0.089267,2344
120570010021,Hillsborough,0.089785,2335
120570010022,Hillsborough,0.089831,2364
120570010023,Hillsborough,0.089842,2315
120570010024,Hillsborough,0.089899,2337
120570011001,Hillsborough,0.089277,2427
120570011002,Hillsborough,0.089204,2414
120570011003,Hillsborough,0.089074,2371
120570012001,Hillsborough,0.089373,2440
120570012002,Hillsborough,0.089199,2437
120570013001,Hillsborough,0.089642,2434
120570013002,Hillsborough,0.089658,2433
120570013003,Hillsborough,0.089180,2424
120570013004,Hillsborough,0.089478,2435
120570013005,Hillsborough,0.089190,2405
120570014001,Hillsborough,0.089144,2425
120570014002,Hillsborough,0.088951,2412
120570014003,Hillsborough,0.088774,2402
120570014004,Hillsborough,0.088930,2417
120570015001,Hillsborough,0.089031,2403
120570015002,Hillsborough,0.089011,2418
120570015003,Hillsborough,0.088987,2406
120570016001,Hillsborough,0.089117,2429
120570016002,Hillsborough,0.088988,2420
120570017001,Hillsborough,0.089098,2421
120570017002,Hillsborough,0.089209,2412
120570017003,Hillsborough,0.089213,2390
120570017004,Hillsborough,0.089050,2413
120570017005,Hillsborough,0.089134,2401
120570018001,Hillsborough,0.090043,2360
120570018002,Hillsborough,0.090036,2312
120570018003,Hillsborough,0.089674,2327
120570018004,Hillsborough,0.089893,2331
120570019001,Hillsborough,0.089693,2367
120570019002,Hillsborough,0.089296,2327
120570019003,Hillsborough,0.089242,2338
120570020001,Hillsborough,0.089307,2402
120570020002,Hillsborough,0.089120,2387
120570020003,Hillsborough,0.088987,2377
120570021001,Hillsborough,0.089084,2408
120570021002,Hillsborough,0.088967,2404
120570021003,Hillsborough,0.088785,2386
