GEOID20,county,r_route,r_band10,r_band20,r_band30,r_band40,r_proximity
120570001011,Hillsborough,0.107215,0.087551,0.110749,0.147612,0.105750,0.090808
120570001012,Hillsborough,0.114189,0.097377,0.117239,0.150410,0.107757,0.090670
120570001013,Hillsborough,0.101185,0.090782,0.098150,0.157869,0.089428,0.091035
120570001014,Hillsborough,0.106837,0.096273,0.107297,0.132749,0.107021,0.089807
120570001021,Hillsborough,0.123138,0.122129,0.122934,0.134156,0.110771,0.089595
120570001022,Hillsborough,0.112288,0.098592,0.116979,0.131690,0.107343,0.090393
120570001023,Hillsborough,0.118012,0.103155,0.122120,0.147291,0.106055,0.090679
120570001024,Hillsborough,0.135229,0.151411,0.133421,0.116693,0.113851,0.090742
120570002011,Hillsborough,0.114520,0.120237,0.109806,0.130714,0.106780,0.089820
120570002012,Hillsborough,0.106566,0.114028,0.101697,0.103031,0.101878,0.089837
120570002021,Hillsborough,0.115241,0.104097,0.117877,0.135830,0.109623,0.089792
120570002022,Hillsborough,0.092191,0.090191,0.086174,0.128268,0.094475,0.089986
120570002023,Hillsborough,0.107654,0.099819,0.107871,0.131686,0.105242,0.089711
120570003011,Hillsborough,0.102916,0.106698,0.101220,0.098688,0.100203,0.089705
120570003012,Hillsborough,0.100414,0.105778,0.097160,0.100415,0.101780,0.089531
120570003013,Hillsborough,0.106352,0.117737,0.099051,0.093606,0.101239,0.089620
120570003014,Hillsborough,0.113418,0.123596,0.108082,0.102030,0.103476,0.089614
120570003021,Hillsborough,0.110472,0.102558,0.111903,0.129703,0.105518,0.089562
120570003022,Hillsborough,0.114928,0.112390,0.119515,0.105925,0.106873,0.089569
120570004011,Hillsborough,0.097691,0.093694,0.099093,0.099272,0.100650,0.089995
120570004012,Hillsborough,0.106873,0.113793,0.102830,0.100116,0.104370,0.090142
120570004013,Hillsborough,0.100002,0.100254,0.101163,0.095051,0.100231,0.089915
120570004021,Hillsborough,0.100622,0.101930,0.103258,0.090383,0.095924,0.089744
120570004022,Hillsborough,0.100539,0.101156,0.101869,0.094521,0.100006,0.089627
120570004023,Hillsborough,0.103300,0.108474,0.101402,0.093813,0.101046,0.089640
120570005001,Hillsborough,0.106903,0.109490,0.108512,0.099763,0.099531,0.090132
120570005002,Hillsborough,0.103373,0.110687,0.101455,0.096295,0.100774,0.089853
120570005003,Hillsborough,0.104255,0.107243,0.104750,0.095225,0.102196,0.090134
120570005004,Hillsborough,0.101503,0.106811,0.100216,0.093908,0.102042,0.090292
120570006011,Hillsborough,0.111864,0.117461,0.116217,0.092175,0.105280,0.090177
120570006012,Hillsborough,0.109707,0.118021,0.105777,0.095426,0.106015,0.089950
120570006013,Hillsborough,0.117389,0.130550,0.116585,0.092311,0.107049,0.089985
120570006021,Hillsborough,0.106448,0.115259,0.103154,0.087833,0.099756,0.089718
120570006022,Hillsborough,0.103789,0.111616,0.101434,0.085276,0.099980,0.089642
120570007011,Hillsborough,0.097326,0.103773,0.092118,0.088987,0.100784,0.089572
120570007012,Hillsborough,0.096797,0.102654,0.092510,0.086805,0.102147,0.089540
120570007021,Hillsborough,0.117630,0.128006,0.115436,0.094993,0.109293,0.089374
120570007022,Hillsborough,0.118573,0.131382,0.114694,0.095062,0.108543,0.089299
120570008001,Hillsborough,0.098524,0.102155,0.095989,0.099594,0.099194,0.089752
120570008002,Hillsborough,0.131935,0.155278,0.125191,0.111265,0.113892,0.090364
120570009011,Hillsborough,0.126077,0.146468,0.121539,0.108014,0.105503,0.090453
120570009012,Hillsborough,0.125063,0.134913,0.124806,0.114287,0.107735,0.090597
120570009013,Hillsborough,0.128136,0.137069,0.128997,0.111959,0.116073,0.090349
120570009021,Hillsborough,0.137959,0.158507,0.133796,0.119373,0.116030,0.090641
120570009022,Hillsborough,0.129568,0.141371,0.128306,0.115068,0.114318,0.090377
120570009023,Hillsborough,0.138006,0.159279,0.134404,0.117596,0.114552,0.090529
120570009024,Hillsborough,0.132313,0.139069,0.135063,0.116742,0.117505,0.090467
120570010011,Hillsborough,0.105543,0.116423,0.104205,0.088217,0.095603,0.089274
120570010012,Hillsborough,0.141229,0.175314,0.129913,0.100598,0.111103,0.089267
120570010021,Hillsborough,0.137442,0.164520,0.127005,0.098987,0.107265,0.089785
120570010022,Hillsborough,0.134161,0.156124,0.125034,0.098959,0.109967,0.089831
120570010023,Hillsborough,0.135285,0.154233,0.126248,0.107704,0.112375,0.089842
120570010024,Hillsborough,0.125607,0.140019,0.118583,0.101196,0.111016,0.089899
120570011001,Hillsborough,0.115251,0.128378,0.107679,0.087679,0.106621,0.089277
120570011002,Hillsborough,0.097556,0.106035,0.093716,0.080524,0.102349,0.089204
120570011003,Hillsborough,0.095492,0.097255,0.097794,0.083492,0.098139,0.089074
120570012001,Hillsborough,0.108003,0.117826,0.102353,0.085758,0.101265,0.089373
120570012002,Hillsborough,0.107014,0.117668,0.100972,0.083452,0.099961,0.089199
120570013001,Hillsborough,0.110582,0.120947,0.107228,0.086909,0.100067,0.089642
120570013002,Hillsborough,0.107694,0.109901,0.109222,0.097459,0.110150,0.089658
120570013003,Hillsborough,0.109355,0.115378,0.107798,0.096154,0.113257,0.089180
120570013004,Hillsborough,0.103578,0.102526,0.107060,0.096121,0.111383,0.089478
120570013005,Hillsborough,0.107290,0.112047,0.106055,0.096568,0.109773,0.089190
120570014001,Hillsborough,0.090977,0.092793,0.093364,0.078374,0.099405,0.089144
120570014002,Hillsborough,0.091221,0.092202,0.095067,0.078872,0.102842,0.088951
120570014003,Hillsborough,0.095844,0.099022,0.097648,0.083351,0.102078,0.088774
120570014004,Hillsborough,0.094095,0.098106,0.094439,0.081457,0.099022,0.088930
120570015001,Hillsborough,0.110985,0.123932,0.108237,0.085723,0.101609,0.089031
120570015002,Hillsborough,0.109480,0.120985,0.106443,0.084735,0.100874,0.089011
120570015003,Hillsborough,0.105757,0.116264,0.103879,0.082909,0.095907,0.088987
120570016001,Hillsborough,0.106195,0.115180,0.101427,0.084770,0.104197,0.089117
120570016002,Hillsborough,0.109710,0.122525,0.102790,0.085349,0.105125,0.088988
120570017001,Hillsborough,0.114790,0.131346,0.103098,0.088434,0.106729,0.089098
120570017002,Hillsborough,0.119528,0.136301,0.112659,0.093708,0.110686,0.089209
120570017003,Hillsborough,0.135747,0.162922,0.125574,0.097934,0.112185,0.089213
120570017004,Hillsborough,0.103388,0.112566,0.100048,0.082598,0.103123,0.089050
120570017005,Hillsborough,0.126407,0.150570,0.115074,0.091737,0.108268,0.089134
120570018001,Hillsborough,0.131148,0.153004,0.120843,0.099604,0.109941,0.090043
120570018002,Hillsborough,0.137309,0.154317,0.132543,0.111035,0.113906,0.090036
120570018003,Hillsborough,0.127484,0.144179,0.122276,0.093129,0.110296,0.089674
120570018004,Hillsborough,0.117628,0.125051,0.117047,0.097238,0.108569,0.089893
120570019001,Hillsborough,0.134941,0.157694,0.126809,0.099237,0.110356,0.089693
120570019002,Hillsborough,0.129502,0.146773,0.130112,0.090503,0.106756,0.089296
120570019003,Hillsborough,0.124450,0.140577,0.123163,0.086603,0.104071,0.089242
120570020001,Hillsborough,0.130932,0.152438,0.122065,0.094380,0.110505,0.089307
120570020002,Hillsborough,0.121406,0.136136,0.116924,0.090075,0.107663,0.089120
120570020003,Hillsborough,0.113636,0.127533,0.108078,0.083669,0.105094,0.088987
120570021001,Hillsborough,0.104346,0.114420,0.100690,0.081434,0.102839,0.089084
120570021002,Hillsborough,0.112413,0.130850,0.100641,0.085098,0.108170,0.088967
120570021003,Hillsborough,0.105603,0.122928,0.089623,0.080887,0.105211,0.088785
120570022001,Hillsborough,0.111140,0.127513,0.099152,0.084365,0.108390,0.088884
120570023001,Hillsborough,0.122996,0.146967,0.106436,0.094994,0.107965,0.088691
