GEOID20,county,r_route,r_band10,r_band20,r_band30,r_band40,r_proximity
120570001011,Hillsborough,0.105961,0.087528,0.110356,0.140873,0.101476,0.090808
120570001012,Hillsborough,0.112893,0.097377,0.117029,0.142617,0.103673,0.090670
120570001013,Hillsborough,0.099706,0.090751,0.097541,0.149085,0.085951,0.091035
120570001014,Hillsborough,0.105872,0.096273,0.107197,0.127734,0.102886,0.089807
120570001021,Hillsborough,0.122368,0.122129,0.122906,0.132160,0.106591,0.089595
120570001022,Hillsborough,0.111249,0.098592,0.116918,0.125405,0.103607,0.090393
120570001023,Hillsborough,0.116846,0.103155,0.122043,0.140115,0.102332,0.090679
120570001024,Hillsborough,0.134429,0.151411,0.133269,0.112623,0.110609,0.090742
120570002011,Hillsborough,0.113616,0.120237,0.109677,0.126550,0.102330,0.089820
120570002012,Hillsborough,0.105897,0.114028,0.101510,0.100938,0.097392,0.089837
120570002021,Hillsborough,0.114287,0.104097,0.117757,0.130668,0.105584,0.089792
120570002022,Hillsborough,0.091140,0.090191,0.086029,0.121911,0.090398,0.089986
120570002023,Hillsborough,0.106735,0.099819,0.107747,0.126613,0.101274,0.089711
120570003011,Hillsborough,0.102268,0.106698,0.101040,0.096722,0.095661,0.089705
120570003012,Hillsborough,0.099734,0.105778,0.097031,0.098343,0.096930,0.089531
120570003013,Hillsborough,0.105732,0.117737,0.098864,0.091623,0.096697,0.089620
120570003014,Hillsborough,0.112806,0.123596,0.107911,0.100142,0.099036,0.089614
120570003021,Hillsborough,0.109616,0.102558,0.111795,0.125223,0.101708,0.089562
120570003022,Hillsborough,0.114327,0.112390,0.119397,0.103661,0.103004,0.089569
120570004011,Hillsborough,0.096984,0.093694,0.098929,0.097240,0.095727,0.089995
120570004012,Hillsborough,0.106118,0.113793,0.102627,0.097473,0.099485,0.090142
120570004013,Hillsborough,0.099330,0.100254,0.100960,0.093047,0.095316,0.089915
120570004021,Hillsborough,0.100014,0.101930,0.103078,0.088674,0.091173,0.089744
120570004022,Hillsborough,0.099918,0.101156,0.101686,0.092797,0.095201,0.089627
120570004023,Hillsborough,0.102669,0.108474,0.101215,0.091823,0.096424,0.089640
120570005001,Hillsborough,0.106215,0.109490,0.108378,0.098084,0.094590,0.090132
120570005002,Hillsborough,0.102769,0.110687,0.101331,0.094848,0.096055,0.089853
120570005003,Hillsborough,0.103636,0.107243,0.104599,0.093812,0.096766,0.090134
120570005004,Hillsborough,0.100888,0.106811,0.100120,0.092428,0.096902,0.090292
120570006011,Hillsborough,0.111271,0.117461,0.116190,0.090751,0.099719,0.090177
120570006012,Hillsborough,0.109120,0.118021,0.105634,0.094041,0.100481,0.089950
120570006013,Hillsborough,0.116829,0.130550,0.116534,0.091096,0.101186,0.089985
120570006021,Hillsborough,0.105853,0.115259,0.102960,0.086163,0.094539,0.089718
120570006022,Hillsborough,0.103191,0.111616,0.101115,0.083792,0.094917,0.089642
120570007011,Hillsborough,0.096709,0.103773,0.091926,0.087057,0.096020,0.089572
120570007012,Hillsborough,0.096206,0.102654,0.092321,0.085092,0.097132,0.089540
120570007021,Hillsborough,0.117062,0.128006,0.115273,0.093442,0.104550,0.089374
120570007022,Hillsborough,0.118003,0.131382,0.114543,0.093530,0.104047,0.089299
120570008001,Hillsborough,0.097916,0.102155,0.095871,0.097686,0.094819,0.089752
120570008002,Hillsborough,0.131276,0.155278,0.124993,0.108695,0.110521,0.090364
120570009011,Hillsborough,0.125378,0.146468,0.121391,0.104680,0.102424,0.090453
120570009012,Hillsborough,0.124331,0.134913,0.124749,0.110455,0.104551,0.090597
120570009013,Hillsborough,0.127453,0.137069,0.128843,0.109237,0.112765,0.090349
120570009021,Hillsborough,0.137148,0.158507,0.133640,0.115093,0.112764,0.090641
120570009022,Hillsborough,0.128897,0.141371,0.128137,0.112009,0.111368,0.090377
120570009023,Hillsborough,0.137206,0.159279,0.134247,0.113750,0.111226,0.090529
120570009024,Hillsborough,0.131537,0.139069,0.134968,0.113235,0.114162,0.090467
120570010011,Hillsborough,0.105024,0.116423,0.104040,0.086955,0.092053,0.089274
120570010012,Hillsborough,0.140712,0.175314,0.129693,0.099597,0.106808,0.089267
120570010021,Hillsborough,0.136877,0.164520,0.126661,0.097810,0.103368,0.089785
120570010022,Hillsborough,0.133588,0.156124,0.124571,0.098037,0.105166,0.089831
120570010023,Hillsborough,0.134646,0.154233,0.125751,0.106484,0.107999,0.089842
120570010024,Hillsborough,0.124983,0.140019,0.117961,0.100341,0.106139,0.089899
120570011001,Hillsborough,0.114702,0.128378,0.107259,0.086585,0.101330,0.089277
120570011002,Hillsborough,0.097004,0.106035,0.093430,0.079441,0.096972,0.089204
120570011003,Hillsborough,0.094988,0.097255,0.097738,0.082166,0.093778,0.089074
120570012001,Hillsborough,0.107463,0.117826,0.101940,0.084628,0.095902,0.089373
120570012002,Hillsborough,0.106472,0.117668,0.100550,0.082365,0.094616,0.089199
120570013001,Hillsborough,0.110015,0.120947,0.107033,0.085357,0.095216,0.089642
120570013002,Hillsborough,0.107162,0.109901,0.109166,0.096102,0.105292,0.089658
120570013003,Hillsborough,0.108863,0.115378,0.107736,0.094961,0.107791,0.089180
120570013004,Hillsborough,0.103075,0.102526,0.106996,0.094897,0.106156,0.089478
120570013005,Hillsborough,0.106786,0.112047,0.105982,0.095170,0.105397,0.089190
120570014001,Hillsborough,0.090472,0.092793,0.093297,0.077126,0.093677,0.089144
120570014002,Hillsborough,0.090733,0.092202,0.094872,0.077891,0.095853,0.088951
120570014003,Hillsborough,0.095383,0.099022,0.097445,0.082392,0.095616,0.088774
120570014004,Hillsborough,0.093603,0.098106,0.094160,0.080521,0.091282,0.088930
120570015001,Hillsborough,0.110471,0.123932,0.108020,0.084615,0.096500,0.089031
120570015002,Hillsborough,0.108964,0.120985,0.106175,0.083616,0.095193,0.089011
120570015003,Hillsborough,0.105254,0.116264,0.103611,0.081823,0.090514,0.088987
120570016001,Hillsborough,0.105635,0.115180,0.101026,0.083620,0.098527,0.089117
120570016002,Hillsborough,0.109174,0.122525,0.102363,0.084423,0.099070,0.088988
120570017001,Hillsborough,0.114248,0.131346,0.102746,0.087329,0.101226,0.089098
120570017002,Hillsborough,0.119003,0.136301,0.112408,0.092684,0.105434,0.089209
120570017003,Hillsborough,0.135244,0.162922,0.125362,0.096911,0.107184,0.089213
120570017004,Hillsborough,0.102862,0.112566,0.099697,0.081574,0.097525,0.089050
120570017005,Hillsborough,0.125893,0.150570,0.114825,0.090704,0.103048,0.089134
120570018001,Hillsborough,0.130513,0.153004,0.120231,0.098773,0.104974,0.090043
120570018002,Hillsborough,0.136625,0.154317,0.132044,0.109912,0.108982,0.090036
120570018003,Hillsborough,0.126836,0.144179,0.121510,0.092355,0.105392,0.089674
120570018004,Hillsborough,0.116995,0.125051,0.116316,0.096589,0.103757,0.089893
120570019001,Hillsborough,0.134373,0.157694,0.126362,0.098363,0.105662,0.089693
120570019002,Hillsborough,0.128937,0.146773,0.129600,0.089844,0.102146,0.089296
120570019003,Hillsborough,0.123878,0.140577,0.122561,0.086001,0.099166,0.089242
120570020001,Hillsborough,0.130422,0.152438,0.121805,0.093326,0.105155,0.089307
120570020002,Hillsborough,0.120893,0.136136,0.116540,0.089147,0.102664,0.089120
120570020003,Hillsborough,0.113105,0.127533,0.107576,0.082854,0.099887,0.088987
120570021001,Hillsborough,0.103812,0.114420,0.100313,0.080404,0.097190,0.089084
120570021002,Hillsborough,0.111905,0.130850,0.100208,0.084339,0.101784,0.088967
120570021003,Hillsborough,0.105085,0.122928,0.089042,0.080196,0.098830,0.088785
120570022001,Hillsborough,0.110630,0.127513,0.098624,0.083627,0.101768,0.088884
120570023001,Hillsborough,0.122515,0.146967,0.106095,0.094155,0.101716,0.088691
120570023002,Hillsborough,0.128176,0.157625,0.103818,0.094024,0.105457,0.088620
120570023003,Hillsborough,0.126279,0.155599,0.102271,0.093781,0.100848,0.088541
120570024001,Hillsborough,0.099666,0.108749,0.095226,0.083856,0.097947,0.088412
120570024002,Hillsborough,0.097319,0.104824,0.095432,0.080842,0.092344,0.088917
120570024003,Hillsborough,0.110266,0.129759,0.099076,0.083380,0.092479,0.088605
120570024004,Hillsborough,0.099775,0.108201,0.096178,0.084596,0.094317,0.088262
120570025001,Hillsborough,0.170756,0.237376,0.123000,0.101763,0.107772,0.088478
120570025002,Hillsborough,0.096572,0.102993,0.093733,0.083341,0.098017,0.088728
120570025003,Hillsborough,0.132209,0.168010,0.109750,0.098791,0.105916,0.088152
120570025004,Hillsborough,0.103008,0.110168,0.103167,0.085094,0.100264,0.088147
120570026001,Hillsborough,0.109822,0.131089,0.098558,0.086158,0.095754,0.088272
120570026002,Hillsborough,0.085676,0.094276,0.078484,0.079367,0.086652,0.087371
120570027011,Hillsborough,0.092491,0.095970,0.094216,0.080321,0.093241,0.087841
120570027012,Hillsborough,0.102388,0.117446,0.090967,0.083430,0.095938,0.087546
120570027013,Hillsborough,0.099940,0.114910,0.088301,0.081132,0.093061,0.087355
120570027021,Hillsborough,0.088421,0.096256,0.080698,0.081204,0.090587,0.087433
120570027022,Hillsborough,0.094566,0.106804,0.084147,0.082149,0.088444,0.087308
120570028001,Hillsborough,0.114529,0.138924,0.099246,0.082908,0.092852,0.088238
120570028002,Hillsborough,0.111515,0.134188,0.097196,0.082234,0.091506,0.087766
120570028003,Hillsborough,0.111330,0.136431,0.093442,0.081579,0.094982,0.087324
120570028004,Hillsborough,0.110437,0.135474,0.090647,0.082483,0.091705,0.087371
120570029001,Hillsborough,0.125137,0.156544,0.099985,0.090484,0.097400,0.088121
120570029002,Hillsborough,0.121825,0.152326,0.096730,0.088614,0.101692,0.087886
120570029003,Hillsborough,0.113762,0.139411,0.090266,0.085614,0.100107,0.087601
120570030001,Hillsborough,0.093155,0.102684,0.086433,0.076622,0.096654,0.088775
120570030002,Hillsborough,0.117063,0.139103,0.096859,0.092246,0.104846,0.088580
120570030003,Hillsborough,0.111008,0.135839,0.087306,0.084775,0.102301,0.087997
120570031001,Hillsborough,0.105712,0.122940,0.092874,0.081584,0.099283,0.088619
120570031002,Hillsborough,0.111799,0.127621,0.105524,0.082955,0.100760,0.088619
120570031003,Hillsborough,0.131577,0.161757,0.112616,0.091142,0.104688,0.088848
120570031004,Hillsborough,0.132231,0.164884,0.110671,0.088522,0.102887,0.088855
120570032001,Hillsborough,0.107785,0.120784,0.100179,0.086218,0.101119,0.088395
120570032002,Hillsborough,0.098945,0.111577,0.084182,0.083927,0.100238,0.088169
120570032003,Hillsborough,0.102250,0.114508,0.091219,0.084005,0.099235,0.088337
120570033001,Hillsborough,0.131375,0.163947,0.104845,0.087809,0.102314,0.088620
120570033002,Hillsborough,0.132837,0.166804,0.102421,0.088376,0.103326,0.088549
120570033003,Hillsborough,0.116170,0.137907,0.098086,0.082578,0.098967,0.088425
120570034001,Hillsborough,0.133794,0.162331,0.116950,0.090876,0.105023,0.088837
120570034002,Hillsborough,0.123967,0.137363,0.121221,0.096049,0.106974,0.089486
120570034003,Hillsborough,0.141359,0.175941,0.126912,0.093872,0.104628,0.089227
120570035001,Hillsborough,0.131356,0.164010,0.105292,0.087489,0.102752,0.088515
120570035002,Hillsborough,0.127668,0.149266,0.119699,0.085286,0.102606,0.088618
120570035003,Hillsborough,0.149205,0.188333,0.133517,0.093968,0.106889,0.088749
120570035004,Hillsborough,0.120235,0.134217,0.116790,0.091606,0.102839,0.089058
120570036001,Hillsborough,0.117687,0.124830,0.118833,0.098118,0.106954,0.089656
120570036002,Hillsborough,0.113859,0.125290,0.114036,0.084687,0.094439,0.090057
120570036003,Hillsborough,0.125372,0.148731,0.115326,0.084995,0.099689,0.089793
120570036004,Hillsborough,0.124744,0.136253,0.123678,0.097618,0.107181,0.089372
120570037001,Hillsborough,0.104762,0.112006,0.108261,0.080350,0.091645,0.090151
120570038001,Hillsborough,0.120897,0.133550,0.118598,0.088479,0.104039,0.089014
120570041001,Hillsborough,0.110957,0.135773,0.087413,0.084801,0.101457,0.087897
120570041002,Hillsborough,0.105170,0.128335,0.083223,0.079558,0.093565,0.087723
120570042001,Hillsborough,0.126045,0.162678,0.095020,0.086205,0.099808,0.087284
120570043001,Hillsborough,0.111926,0.143883,0.082546,0.083202,0.094648,0.086979
120570043002,Hillsborough,0.114346,0.139316,0.094803,0.088437,0.097177,0.086868
120570043003,Hillsborough,0.102032,0.117950,0.086633,0.086678,0.096025,0.086747
120570044001,Hillsborough,0.089568,0.099640,0.079478,0.081004,0.093383,0.087200
120570044002,Hillsborough,0.106009,0.125310,0.093003,0.081458,0.093973,0.086954
120570044003,Hillsborough,0.096846,0.115423,0.079145,0.080054,0.090362,0.086991
120570045001,Hillsborough,0.091690,0.103494,0.081945,0.079830,0.091175,0.087068
120570045002,Hillsborough,0.088944,0.098594,0.080483,0.079143,0.087718,0.087361
120570045003,Hillsborough,0.108392,0.141033,0.080823,0.077575,0.086055,0.087138
120570045004,Hillsborough,0.081862,0.085839,0.077573,0.078545,0.087788,0.087263
120570045005,Hillsborough,0.079732,0.085188,0.073501,0.075312,0.087709,0.087179
120570046011,Hillsborough,0.076213,0.078883,0.071841,0.077046,0.085232,0.087134
120570046012,Hillsborough,0.076139,0.078115,0.072369,0.077162,0.088317,0.087077
120570046021,Hillsborough,0.077471,0.083537,0.070230,0.079631,0.081151,0.086650
120570047001,Hillsborough,0.075205,0.077802,0.069890,0.079622,0.087553,0.086322
120570047002,Hillsborough,0.078198,0.081831,0.072809,0.078700,0.088487,0.086398
120570047003,Hillsborough,0.074437,0.077567,0.069085,0.076820,0.086266,0.086659
120570048001,Hillsborough,0.110220,0.145604,0.080056,0.077149,0.085859,0.086848
120570048002,Hillsborough,0.089810,0.106235,0.073824,0.074514,0.087062,0.086857
120570048003,Hillsborough,0.089327,0.106925,0.073887,0.075281,0.084050,0.086618
120570048004,Hillsborough,0.089175,0.098202,0.079908,0.083644,0.091457,0.086632
120570048005,Hillsborough,0.107570,0.134853,0.085880,0.082957,0.087646,0.086561
120570048006,Hillsborough,0.092178,0.105605,0.079436,0.082815,0.090055,0.086637
120570049011,Hillsborough,0.094454,0.107733,0.082476,0.079542,0.092745,0.086639
120570049012,Hillsborough,0.086224,0.097043,0.074261,0.077527,0.090027,0.086914
120570049021,Hillsborough,0.084773,0.091421,0.076598,0.080201,0.091386,0.086791
120570049022,Hillsborough,0.083860,0.088723,0.076660,0.082275,0.092295,0.086705
120570049023,Hillsborough,0.085617,0.090664,0.078830,0.084052,0.092130,0.086776
120570050001,Hillsborough,0.098372,0.119056,0.078888,0.075792,0.091148,0.086840
120570050002,Hillsborough,0.123124,0.162576,0.086045,0.076716,0.094965,0.087107
120570050003,Hillsborough,0.086323,0.100009,0.072141,0.073128,0.090694,0.087009
120570051011,Hillsborough,0.098909,0.120045,0.076926,0.076927,0.089680,0.087646
120570051012,Hillsborough,0.090716,0.107460,0.077728,0.075787,0.092725,0.087613
120570051021,Hillsborough,0.092411,0.107141,0.084283,0.070683,0.086738,0.087502
120570051022,Hillsborough,0.092918,0.107346,0.083932,0.070739,0.090347,0.087600
