roadway,county,begin_post,end_post,length_mi,aadt,description,ksi_observed,ksi_spf,eb_weight,ksi_eb,vmt_period,r_per_pmt
14000117,Pasco,1.969,2.078,0.109,2050,OTIS ALLEN RD,4,0.074,0.9176,0.397,562759,1.424373
10000213,Hillsborough,0.0,4.048,4.048,350,ALAFIA BLVD,22,0.770,0.6541,8.113,3568211,4.288165
10140100,Hillsborough,0.11,0.64,0.53,700,N/A,0,0.114,0.8974,0.102,934364,0.180457
14000068,Pasco,0.0,0.513,0.513,800,AUTUMN PALM DR,0,0.187,0.8859,0.166,1033592,0.264592
10270121,Hillsborough,0.0,0.185,0.185,2400,N SIDE OF BR 100683,0,0.110,0.9003,0.099,1118214,0.146506
10825000,Hillsborough,0.0,6.052,6.052,300,DEAD END,26,1.230,0.4013,16.058,4572589,6.225569
15000315,Pinellas,0.0,0.16,0.16,7900,WEST BRIDGE JOINT,0,0.305,0.8266,0.252,3183384,0.130930
10320169,Hillsborough,0.0,0.105,0.105,6100,I-275 NB/SR-93,0,0.135,0.8803,0.119,1613099,0.122029
15190032,Pinellas,0.12,0.333,0.213,3100,N/A,2,0.157,0.8639,0.408,1662966,0.541384
15010000,Pinellas,0.0,0.103,0.103,14000,US-92/SR-687/4 ST N,2,0.381,0.7923,0.717,3631677,0.435956
15000321,Pinellas,0.0,0.951,0.951,800,GULFPORT BLVD S,0,0.358,0.6974,0.249,1916075,0.214961
14150000,Pasco,0.0,2.241,2.241,700,US-301 / SR-35,1,0.775,0.5154,0.884,3950771,0.521450
14000133,Pasco,0.0,2.182,2.182,400,E SHELL POINT RD,0,0.531,0.6082,0.323,2198147,0.242626
14040000,Pasco,0.84,1.011,0.171,5500,BRINSON RD,0,0.202,0.8310,0.168,2368649,0.117271
15000420,Pinellas,0.0,0.845,0.845,2300,HIGHPOINT DR,0,0.617,0.5720,0.353,4894705,0.119015
15190905,Pinellas,0.0,0.39,0.39,2500,CONDOMINIUM,0,0.300,0.7332,0.220,2455538,0.147890
10250000,Hillsborough,5.6,6.476,0.876,2250,N/A,2,0.631,0.5666,1.224,4963964,0.374966
15040000,Pinellas,1.214,1.661,0.447,2300,CLEVELAND ST,2,0.326,0.7164,0.801,2589270,0.683041
10020102,Hillsborough,0.0,0.056,0.056,18500,EB SR-60/JACKSON ST,0,0.259,0.8485,0.220,2609166,0.139193
10040000,Hillsborough,0.0,0.11,0.11,9600,SR-60/E KENNEDY BLVD,1,0.299,0.8290,0.419,2659536,0.249079
15190018,Pinellas,0.0,0.3,0.3,7300,15003800 EB OFF,2,0.449,0.6892,0.931,5515515,0.488913
15000273,Pinellas,0.0,0.5,0.5,2350,BELCHER RD,1,0.370,0.6903,0.565,2959238,0.444973
10002001,Hillsborough,0.0,0.228,0.228,5400,US-92 / SR-600/GANDY,1,0.266,0.7892,0.421,3100777,0.316063
14000041,Pasco,0.0,0.668,0.668,1900,CHANCEY RD,1,0.444,0.7662,0.574,3196480,0.283766
15000288,Pinellas,0.0,0.161,0.161,7900,GULF BLVD,0,0.307,0.8257,0.254,3203280,0.130788
10320147,Hillsborough,0.0,0.18,0.18,14500,I-275 / SR-93,1,0.476,0.6767,0.645,6573285,0.228704
10320165,Hillsborough,0.0,0.136,0.136,9600,I-275 SB/SR-93,1,0.255,0.7958,0.407,3288154,0.288713
14620000,Pasco,0.0,0.67,0.67,1950,GRAND BLVD,3,0.441,0.6515,1.333,3290420,0.852601
08060000,Hernando,0.0,2.049,2.049,650,PASCO CO LINE,1,0.676,0.5493,0.822,3354264,0.571257
10030000,Hillsborough,16.407,16.9,0.493,13800,N/A,6,1.800,0.4463,4.126,17134363,0.699395
10020000,Hillsborough,5.169,5.362,0.193,22500,BIRD ST,3,1.047,0.5810,1.865,10936586,0.359037
14050000,Pasco,20.483,21.161,0.678,9300,US-98/SR-700,27,1.799,0.4465,15.747,15880150,1.512375
10190123,Hillsborough,0.0,0.562,0.562,2900,SR-39A/ALEXANDER ST,1,0.392,0.7177,0.563,4104651,0.319809
10000013,Hillsborough,0.0,0.445,0.445,3900,PARK RD,1,0.584,0.7129,0.704,4370857,0.375188
14000026,Pasco,0.0,0.92,0.92,3800,CLARK ST,3,0.920,0.4725,2.017,8804676,0.336870
15190040,Pinellas,0.0,0.268,0.268,7000,I-275/SR-93 SB,6,0.387,0.7199,1.960,4724706,0.776870
10900006,Hillsborough,0.0,0.474,0.474,16000,BAYWEST COMMERCE PK,4,1.169,0.4135,2.830,19100304,0.560785
14000052,Pasco,0.0,0.81,0.81,4900,CR-54/EILAND BLVD,0,0.951,0.4644,0.441,9995927,0.072927
10000061,Hillsborough,0.0,1.618,1.618,1300,BAYSHORE BLVD,3,0.825,0.4997,1.913,5297413,0.760377
10000177,Hillsborough,0.0,0.649,0.649,3300,BRANDON PKWY,3,0.594,0.5811,1.602,5393871,0.625226
10000382,Hillsborough,0.0,2.272,2.272,1900,LITHIA PINECREST RD,2,1.471,0.3592,1.810,10871861,0.482160
10000198,Hillsborough,0.028,0.339,0.311,7100,W LAUREL ST,0,0.455,0.6864,0.312,5561100,0.092703
10720000,Hillsborough,1.575,1.832,0.257,17300,DAVIS RD,0,1.127,0.5629,0.634,11197503,0.093540
10190102,Hillsborough,0.0,0.195,0.195,11500,CR-579,1,0.425,0.7007,0.597,5647736,0.246431
15000308,Pinellas,0.0,0.251,0.251,9000,22 AVE S,1,0.528,0.7340,0.653,5689292,0.267570
02000052,Citrus,0.0,0.76,0.76,3000,W YULEE DR,0,0.655,0.5571,0.365,5742180,0.104993
15000425,Pinellas,0.0,0.863,0.863,2700,LANSBROOK PKWY,1,0.697,0.5420,0.836,5868357,0.331798
14000077,Pasco,0.0,0.587,0.587,4000,TUCKER RD,1,0.606,0.5761,0.773,5913438,0.206591
10000223,Hillsborough,0.0,0.592,0.592,8000,US-301,5,1.391,0.5107,3.157,11927616,0.659089
10002338,Hillsborough,0.0,0.275,0.275,8700,SR-618 WB,2,0.476,0.6766,0.969,6025511,0.355102
15000330,Pinellas,0.0,0.71,0.71,3400,CR 1/KEENE RD,1,0.662,0.5545,0.813,6079659,0.311535
10002037,Hillsborough,0.0,0.233,0.233,10500,SR-618 EB,2,0.471,0.6787,0.962,6161510,0.344922
14000104,Pasco,0.0,4.174,4.174,3600,US-19,14,5.138,0.2203,12.048,37843988,1.037003
14000132,Pasco,0.0,1.002,1.002,5000,DAUGHTERY RD,0,1.191,0.4091,0.487,12617685,0.063749
14000007,Pasco,0.0,3.612,3.612,1400,PAUL S BUCHMAN HWY,2,1.930,0.2992,1.979,12735551,0.450083
14000075,Pasco,0.0,1.405,1.405,3600,US-19/SR-55,2,1.359,0.3776,1.758,12738573,0.304730
15000001,Pinellas,0.0,2.038,2.038,2500,SEMINOLE ST,2,1.567,0.3447,1.851,12831757,0.219325
15000137,Pinellas,0.0,1.039,1.039,2500,PASS-A-GRILLE WAY,0,0.799,0.5078,0.406,6541804,0.102419
15000042,Pinellas,0.0,1.3,1.3,2000,N KEENE RD,0,0.869,0.4868,0.423,6548100,0.106685
10020000,Hillsborough,0.743,1.009,0.266,9800,E ESTELLE ST,2,0.736,0.6634,1.162,6565226,0.390752
10000070,Hillsborough,0.0,2.034,2.034,1300,S DAVIS ROUNDABOUT,2,1.038,0.4427,1.574,6659418,0.521935
15000256,Pinellas,0.0,1.546,1.546,1750,SR-688 / ULMERTON RD,2,0.951,0.4645,1.513,6813802,0.337524
10030000,Hillsborough,6.498,6.977,0.479,17900,GARDEN LN,4,2.159,0.4020,3.260,21593871,0.482470
08050000,Hernando,11.725,12.476,0.751,7700,US41/SR45/N BROAD ST,14,1.710,0.4590,8.359,14563730,0.882529
10075356,Hillsborough,0.0,0.303,0.303,9600,SR 582 FOWLER AVE WB,4,0.569,0.6363,1.817,7325813,0.500126
14050000,Pasco,11.342,11.637,0.295,30000,US-98/SR-35/SR-700,14,2.019,0.4182,8.990,22288725,0.758953
