roadway,begin_post,end_post,facility,match_m,class_is_a_guess
14000117,1.969,2.078,collector,12,no
10000213,0.0,4.048,minor arterial,43,no
10140100,0.11,0.64,freeway,14,no
14000068,0.0,0.513,principal arterial,324,no
10270121,0.0,0.185,freeway,21,no
10825000,0.0,6.052,collector,194,no
15000315,0.0,0.16,minor arterial,33,no
10320169,0.0,0.105,freeway,32,no
15190032,0.12,0.333,freeway,64,no
15010000,0.0,0.103,principal arterial,8,no
15000321,0.0,0.951,collector,1,no
14150000,0.0,2.241,collector,512,yes
14000133,0.0,2.182,collector,419,no
14040000,0.84,1.011,freeway,35,no
15000420,0.0,0.845,collector,229,no
15190905,0.0,0.39,collector,39,no
10250000,5.6,6.476,collector,86,no
15040000,1.214,1.661,collector,54,no
10020102,0.0,0.056,principal arterial,7,no
10040000,0.0,0.11,principal arterial,1,no
15190018,0.0,0.3,freeway,23,no
15000273,0.0,0.5,collector,15,no
10002001,0.0,0.228,freeway,22,no
14000041,0.0,0.668,minor arterial,610,yes
15000288,0.0,0.161,minor arterial,33,no
10320147,0.0,0.18,freeway,7,no
10320165,0.0,0.136,freeway,68,no
14620000,0.0,0.67,collector,191,no
08060000,0.0,2.049,collector,296,no
10030000,16.407,16.9,principal arterial,88,no
10020000,5.169,5.362,principal arterial,6,no
14050000,20.483,21.161,principal arterial,18,no
10190123,0.0,0.562,freeway,59,no
10000013,0.0,0.445,principal arterial,41,no
14000026,0.0,0.92,collector,15,no
15190040,0.0,0.268,freeway,81,no
10900006,0.0,0.474,collector,109,no
14000052,0.0,0.81,collector,409,no
10000061,0.0,1.618,collector,46,no
10000177,0.0,0.649,collector,129,no
10000382,0.0,2.272,collector,151,no
10000198,0.028,0.339,freeway,46,no
10720000,1.575,1.832,principal arterial,32,no
10190102,0.0,0.195,freeway,29,no
15000308,0.0,0.251,minor arterial,244,no
02000052,0.0,0.76,collector,17,no
15000425,0.0,0.863,collector,43,no
14000077,0.0,0.587,collector,826,yes
10000223,0.0,0.592,principal arterial,49,no
10002338,0.0,0.275,freeway,63,no
15000330,0.0,0.71,collector,156,no
10002037,0.0,0.233,freeway,33,no
14000104,0.0,4.174,principal arterial,1079,yes
14000132,0.0,1.002,collector,114,no
14000007,0.0,3.612,collector,501,yes
14000075,0.0,1.405,collector,66,no
15000001,0.0,2.038,collector,493,no
15000137,0.0,1.039,collector,274,no
15000042,0.0,1.3,collector,50,no
10020000,0.743,1.009,principal arterial,87,no
10000070,0.0,2.034,collector,247,no
15000256,0.0,1.546,collector,83,no
10030000,6.498,6.977,principal arterial,29,no
08050000,11.725,12.476,principal arterial,110,no
10075356,0.0,0.303,freeway,11,no
14050000,11.342,11.637,principal arterial,49,no
15190014,0.0,0.441,freeway,32,no
15504000,0.0,3.216,collector,204,no
08070000,8.543,9.519,freeway,354,no
08000024,0.0,1.168,principal arterial,39,no
10270114,0.0,0.529,freeway,58,no
10190450,0.0,0.294,freeway,30,no
14000106,0.0,3.269,collector,375,no
10000016,0.0,2.645,collector,484,no
10060000,26.226,26.565,principal arterial,23,no
14000166,0.0,1.353,collector,89,no
10330000,0.155,0.911,principal arterial,8,no
10140104,0.097,0.444,freeway,20,no
02000037,0.0,1.503,collector,274,no
10020101,1.546,1.822,principal arterial,19,no
15000203,0.25,1.036,minor arterial,80,no
02040000,5.44,6.681,principal arterial,545,yes
10620500,0.0,1.585,collector,381,no
15150000,4.874,5.876,freeway,15,no
08010000,9.687,10.077,principal arterial,97,no
14000020,0.0,3.359,collector,190,no
08010000,10.362,11.328,principal arterial,25,no
10570000,0.0,4.973,collector,473,no
10000205,0.0,0.535,collector,18,no
15061000,6.946,7.16,principal arterial,4,no
