roadway,county,begin_post,end_post,length_mi,aadt,description,crashes,deaths,serious,ped_deaths,occ_deaths,occ_serious,vmt_period,deaths_per_100M_vmt,crashes_per_100M_vmt
14000117,Pasco,1.969,2.078,0.109,2050,OTIS ALLEN RD,9,1,3,0,1,3,562759,177.696,1599.3
10000213,Hillsborough,0.0,4.048,4.048,350,ALAFIA BLVD,516,5,25,2,3,19,3568211,140.126,14461.0
10140100,Hillsborough,0.11,0.64,0.53,700,N/A,7,1,0,0,0,0,934364,107.025,749.2
14000068,Pasco,0.0,0.513,0.513,800,AUTUMN PALM DR,7,1,0,1,0,0,1033592,96.75,677.2
10270121,Hillsborough,0.0,0.185,0.185,2400,N SIDE OF BR 100683,7,1,0,0,0,0,1118214,89.428,626.0
10825000,Hillsborough,0.0,6.052,6.052,300,DEAD END,270,4,26,0,3,23,4572589,87.478,5904.8
15000315,Pinellas,0.0,0.16,0.16,7900,WEST BRIDGE JOINT,8,2,1,0,0,0,3183384,62.826,251.3
10320169,Hillsborough,0.0,0.105,0.105,6100,I-275 NB/SR-93,24,1,0,1,0,0,1613099,61.992,1487.8
15190032,Pinellas,0.12,0.333,0.213,3100,N/A,9,1,1,0,1,1,1662966,60.134,541.2
15010000,Pinellas,0.0,0.103,0.103,14000,US-92/SR-687/4 ST N,64,2,3,0,1,1,3631677,55.071,1762.3
15000321,Pinellas,0.0,0.951,0.951,800,GULFPORT BLVD S,55,1,1,0,0,0,1916075,52.19,2870.5
14150000,Pasco,0.0,2.241,2.241,700,US-301 / SR-35,19,2,0,0,1,0,3950771,50.623,480.9
14000133,Pasco,0.0,2.182,2.182,400,E SHELL POINT RD,43,1,0,0,0,0,2198147,45.493,1956.2
14040000,Pasco,0.84,1.011,0.171,5500,BRINSON RD,52,1,0,1,0,0,2368649,42.218,2195.3
15000420,Pinellas,0.0,0.845,0.845,2300,HIGHPOINT DR,33,2,0,0,0,0,4894705,40.86,674.2
15190905,Pinellas,0.0,0.39,0.39,2500,CONDOMINIUM,6,1,0,1,0,0,2455538,40.724,244.3
10250000,Hillsborough,5.6,6.476,0.876,2250,N/A,48,2,3,1,0,2,4963964,40.29,967.0
15040000,Pinellas,1.214,1.661,0.447,2300,CLEVELAND ST,38,1,1,0,1,1,2589270,38.621,1467.6
10020102,Hillsborough,0.0,0.056,0.056,18500,EB SR-60/JACKSON ST,43,1,3,0,0,0,2609166,38.326,1648.0
10040000,Hillsborough,0.0,0.11,0.11,9600,SR-60/E KENNEDY BLVD,97,1,1,1,0,1,2659536,37.601,3647.3
15190018,Pinellas,0.0,0.3,0.3,7300,15003800 EB OFF,4,2,0,0,2,0,5515515,36.261,72.5
15000273,Pinellas,0.0,0.5,0.5,2350,BELCHER RD,9,1,0,0,1,0,2959238,33.792,304.1
10002001,Hillsborough,0.0,0.228,0.228,5400,US-92 / SR-600/GANDY,12,1,0,0,1,0,3100777,32.25,387.0
14000041,Pasco,0.0,0.668,0.668,1900,CHANCEY RD,12,1,1,1,0,1,3196480,31.284,375.4
