GEOID20,county,TotPop,AutoOwn0,A_drive,no_transit,A_transit,transit_share
120174501011,Citrus,2007,12,1943,True,0.0,0.0
120174501012,Citrus,656,0,2558,True,0.0,0.0
120174501013,Citrus,2294,14,3413,True,0.0,0.0
120174501014,Citrus,1789,229,5205,True,0.0,0.0
120174501021,Citrus,1074,32,2591,True,0.0,0.0
120174501022,Citrus,1040,16,3084,True,0.0,0.0
120174501023,Citrus,752,11,2474,True,0.0,0.0
120174501024,Citrus,1063,16,2346,True,0.0,0.0
120174502011,Citrus,1456,23,4308,False,410.0,0.08690122933446376
120174502012,Citrus,1867,51,4307,False,676.0,0.1356612482440297
120174502013,Citrus,786,24,5073,False,497.0,0.08922800718132855
120174502021,Citrus,1802,57,4947,False,432.0,0.08031232571109871
120174502022,Citrus,1026,47,4236,False,597.0,0.12352576039726877
120174502023,Citrus,1151,16,4807,False,576.0,0.10700352963031767
120174502024,Citrus,1293,17,4037,False,613.0,0.13182795698924732
120174503021,Citrus,3333,53,3643,True,0.0,0.0
120174503022,Citrus,3254,25,3025,True,0.0,0.0
120174503023,Citrus,1834,54,4408,True,0.0,0.0
120174503031,Citrus,1683,197,4055,True,0.0,0.0
120174503032,Citrus,1216,115,4300,True,0.0,0.0
120174503033,Citrus,1813,66,6213,True,0.0,0.0
120174503034,Citrus,1390,86,3469,True,0.0,0.0
120174503041,Citrus,3243,39,3540,True,0.0,0.0
120174503042,Citrus,1082,0,2424,True,0.0,0.0
120174503043,Citrus,5544,34,4211,False,758.0,0.1525457838599316
120174504001,Citrus,1468,0,1877,True,0.0,0.0
120174504002,Citrus,1424,0,2581,True,0.0,0.0
120174504003,Citrus,862,0,3506,True,0.0,0.0
120174504004,Citrus,577,0,1904,True,0.0,0.0
120174504005,Citrus,1799,49,2857,True,0.0,0.0
120174505001,Citrus,1598,37,1636,True,0.0,0.0
120174505002,Citrus,1417,0,3216,True,0.0,0.0
120174505003,Citrus,594,43,3791,False,231.0,0.05743411238189955
120174505004,Citrus,953,0,2271,True,0.0,0.0
120174506011,Citrus,1245,21,3780,True,0.0,0.0
120174506012,Citrus,2750,137,3045,True,0.0,0.0
120174506013,Citrus,843,0,2444,True,0.0,0.0
120174506021,Citrus,892,40,3348,True,0.0,0.0
120174506022,Citrus,1294,12,4259,True,0.0,0.0
120174506023,Citrus,1030,0,5476,True,0.0,0.0
120174506024,Citrus,1431,56,5480,True,0.0,0.0
120174507011,Citrus,3091,32,5086,True,0.0,0.0
120174507012,Citrus,3966,55,4830,True,0.0,0.0
120174507021,Citrus,3014,17,4388,True,0.0,0.0
120174507022,Citrus,1147,69,5288,False,3807.0,0.4185816382627818
120174507023,Citrus,2681,94,5368,True,0.0,0.0
120174507024,Citrus,1417,77,5167,True,0.0,0.0
120174508001,Citrus,865,0,2210,True,0.0,0.0
120174508002,Citrus,614,0,2726,True,0.0,0.0
120174508003,Citrus,692,47,4192,True,0.0,0.0
120174508004,Citrus,2165,43,4889,True,0.0,0.0
120174509011,Citrus,1971,24,1638,True,0.0,0.0
120174509012,Citrus,1129,9,3032,True,0.0,0.0
120174509021,Citrus,1242,233,5306,True,0.0,0.0
120174509022,Citrus,1310,91,4216,True,0.0,0.0
120174510001,Citrus,1114,0,2461,True,0.0,0.0
120174510002,Citrus,1433,83,5461,False,2878.0,0.34512531478594555
120174510003,Citrus,1146,0,2217,True,0.0,0.0
120174510004,Citrus,1399,0,2991,True,0.0,0.0
120174510005,Citrus,906,48,5539,False,773.0,0.12246514575411914
120174511011,Citrus,2278,27,5217,True,0.0,0.0
120174511021,Citrus,1684,162,1957,True,0.0,0.0
120174511022,Citrus,1976,13,4598,True,0.0,0.0
120174511023,Citrus,2342,36,4439,True,0.0,0.0
120174512001,Citrus,1556,47,1069,True,0.0,0.0
120174512002,Citrus,1323,32,2248,True,0.0,0.0
120174512003,Citrus,1205,8,3108,False,1721.0,0.3563884862290329
120174513001,Citrus,2509,44,1516,True,0.0,0.0
120174513002,Citrus,760,17,2518,True,0.0,0.0
120174514001,Citrus,3007,116,1807,True,0.0,0.0
120174514002,Citrus,1336,23,6050,False,3300.0,0.35294117647058826
120174514003,Citrus,1336,0,3802,True,0.0,0.0
120174515011,Citrus,1180,21,5258,True,0.0,0.0
120174515012,Citrus,1826,32,4194,True,0.0,0.0
120174515021,Citrus,1368,26,4200,True,0.0,0.0
120174515022,Citrus,2760,109,4764,True,0.0,0.0
120174515023,Citrus,2687,119,4082,True,0.0,0.0
120174516011,Citrus,3983,32,5504,True,0.0,0.0
120174516012,Citrus,1730,60,3259,True,0.0,0.0
120174516021,Citrus,2363,0,3883,True,0.0,0.0
120174516022,Citrus,1235,8,4257,True,0.0,0.0
120174516023,Citrus,1512,32,4415,True,0.0,0.0
120174516024,Citrus,1346,16,4232,True,0.0,0.0
120174517001,Citrus,1065,80,2575,True,0.0,0.0
120174517002,Citrus,669,13,2159,True,0.0,0.0
120174517003,Citrus,642,0,2608,True,0.0,0.0
120174517004,Citrus,1482,29,1938,True,0.0,0.0
120530401011,Hernando,2741,12,659,True,0.0,0.0
120530401012,Hernando,1774,18,3330,True,0.0,0.0
120530401013,Hernando,802,9,1486,True,0.0,0.0
120530401021,Hernando,925,15,3908,True,0.0,0.0
120530401022,Hernando,1165,24,3021,True,0.0,0.0
120530402011,Hernando,1472,7,3406,True,0.0,0.0
120530402012,Hernando,1270,17,2257,True,0.0,0.0
120530402021,Hernando,1954,12,4555,True,0.0,0.0
120530402022,Hernando,881,18,5384,True,0.0,0.0
120530402023,Hernando,3107,0,3707,True,0.0,0.0
120530403011,Hernando,1623,32,3226,True,0.0,0.0
120530403021,Hernando,1593,36,7799,True,0.0,0.0
120530403022,Hernando,1280,14,2787,True,0.0,0.0
120530403023,Hernando,1245,55,4130,True,0.0,0.0
120530403031,Hernando,1558,0,4323,True,0.0,0.0
120530403032,Hernando,1153,94,3626,True,0.0,0.0
120530404001,Hernando,969,11,7595,False,1772.0,0.18917476246396925
120530404002,Hernando,1171,20,7719,True,0.0,0.0
120530404003,Hernando,286,17,8573,True,0.0,0.0
120530404004,Hernando,317,8,9984,False,1505.0,0.1309948646531465
120530405011,Hernando,938,19,6243,True,0.0,0.0
120530405012,Hernando,1596,48,10644,False,1191.0,0.10063371356147022
120530405013,Hernando,1341,148,9840,False,2004.0,0.1691995947315096
120530405021,Hernando,1290,69,9664,True,0.0,0.0
120530405022,Hernando,2102,52,8535,False,4627.0,0.35154231879653547
120530406011,Hernando,913,8,3832,True,0.0,0.0
120530406012,Hernando,1657,47,6454,True,0.0,0.0
120530406021,Hernando,766,11,6634,True,0.0,0.0
120530406022,Hernando,2160,18,3701,True,0.0,0.0
120530407011,Hernando,2923,0,4170,True,0.0,0.0
120530407012,Hernando,3261,0,6640,True,0.0,0.0
120530407021,Hernando,2062,69,4747,True,0.0,0.0
120530407022,Hernando,2577,6,8933,True,0.0,0.0
120530408011,Hernando,1546,44,9937,True,0.0,0.0
120530408012,Hernando,1118,31,10007,False,1746.0,0.14855781502595083
120530408013,Hernando,1040,42,9991,True,0.0,0.0
120530408021,Hernando,2867,0,8947,True,0.0,0.0
120530408022,Hernando,1682,30,12371,True,0.0,0.0
120530409011,Hernando,2728,134,14307,False,882.0,0.05806833892948845
120530409012,Hernando,1973,0,12563,False,430.0,0.033094743323327944
120530409013,Hernando,955,0,14236,False,44.0,0.0030812324929971988
120530409051,Hernando,2971,82,13491,True,0.0,0.0
120530409052,Hernando,1717,0,12877,True,0.0,0.0
120530409053,Hernando,1353,0,15276,False,160.0,0.010365379632029024
120530409061,Hernando,1400,39,16193,False,393.0,0.0236946822621488
120530409062,Hernando,1614,56,15975,False,530.0,0.03211148136928203
120530409063,Hernando,3789,17,15659,True,0.0,0.0
120530409071,Hernando,1514,0,12196,False,181.0,0.014623899167811262
120530409072,Hernando,1298,0,16222,False,108.0,0.0066135946111451314
120530409081,Hernando,4168,33,10683,True,0.0,0.0
120530409082,Hernando,3189,0,16981,False,340.0,0.019629351654061544
120530409091,Hernando,2764,97,14499,True,0.0,0.0
120530409092,Hernando,2005,28,13354,True,0.0,0.0
120530409101,Hernando,2640,67,10773,True,0.0,0.0
120530409102,Hernando,1194,12,4794,True,0.0,0.0
120530409111,Hernando,2417,14,16044,False,2054.0,0.11349320366891369
120530409112,Hernando,3009,47,13378,True,0.0,0.0
120530410031,Hernando,1384,9,14620,False,3680.0,0.2010928961748634
120530410032,Hernando,1742,113,10294,True,0.0,0.0
120530410041,Hernando,2588,20,13932,False,2185.0,0.13557113606750637
120530410042,Hernando,2575,87,12826,True,0.0,0.0
120530410043,Hernando,1647,28,12042,False,3244.0,0.21222033233023682
120530410051,Hernando,1349,35,13920,False,2055.0,0.12863849765258217
120530410052,Hernando,1134,8,14160,False,2103.0,0.12931193506733074
120530410061,Hernando,2818,15,13184,True,0.0,0.0
120530410062,Hernando,2385,15,13276,False,5347.0,0.2871180797938034
120530410063,Hernando,2555,42,15087,False,2114.0,0.12289983140515086
120530411031,Hernando,2255,53,11903,False,1107.0,0.08508839354342813
120530411032,Hernando,2313,70,12281,False,2761.0,0.18355271905331738
120530411041,Hernando,1225,30,12784,False,2319.0,0.15354565318148714
120530411042,Hernando,1742,6,12386,False,673.0,0.05153533961252776
120530411051,Hernando,1566,87,14324,False,2690.0,0.15810508992594335
120530411052,Hernando,1463,57,11309,False,2990.0,0.2091055318553745
120530411053,Hernando,1843,20,13270,False,182.0,0.01352958667856081
120530411061,Hernando,1923,18,13181,False,3471.0,0.20844343021859235
120530411062,Hernando,2515,11,14004,False,2864.0,0.16978894949015888
120530412011,Hernando,1257,0,12427,True,0.0,0.0
120530412012,Hernando,1426,0,11335,True,0.0,0.0
120530412013,Hernando,1596,56,12628,False,1773.0,0.12311645024651066
120530412031,Hernando,1671,21,10644,False,2690.0,0.2017399130043498
120530412032,Hernando,2513,30,11045,False,2964.0,0.21157827111142838
120530412041,Hernando,1759,25,8928,False,4174.0,0.3185773164402381
120530412042,Hernando,653,25,9566,True,0.0,0.0
120530412043,Hernando,862,48,10042,True,0.0,0.0
120530413021,Hernando,1581,0,11212,False,2143.0,0.16046424560089853
120530413022,Hernando,1842,45,11511,False,2425.0,0.1740097588978186
120530413031,Hernando,715,0,8973,True,0.0,0.0
